comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW!,0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW! Ref_1.,0,0,0,0,0,0
All people from that country are filthy scum and subhumans. I hate them all! Ref_2.,0,0,0,0,0,0
SHUT UP YOU STUPID FOOL! I WILL KILL YOU AND DESTROY YOUR PAGE! YOU ARE DISGUSTING! Ref_3.,1,0,0,0,0,0
This article is completely biased and lacks neutral point of view references. Ref_4.,0,0,0,0,0,0
"You are a pathetic loser, get a life and stop editing Wikipedia. Ref_5.",0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_6.",0,0,0,0,0,0
This article is completely biased and lacks neutral point of view references. Ref_7.,0,0,0,0,0,0
All people from that country are filthy scum and subhumans. I hate them all! Ref_8.,0,0,0,0,0,0
SHUT UP YOU STUPID FOOL! I WILL KILL YOU AND DESTROY YOUR PAGE! YOU ARE DISGUSTING! Ref_9.,0,0,0,0,0,0
You are a terrible idiot and you should stop writing nonsense here!!! GO AWAY NOW! Ref_10.,0,0,0,0,0,0
All people from that country are filthy scum and subhumans. I hate them all! Ref_11.,0,0,0,0,0,0
,0,0,0,0,0,0
"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information. Ref_13.",0,0,0,0,0,0
Fuck you and your stupid rules! You complete asshole! Ref_14.,0,0,0,0,0,0
SHUT UP YOU STUPID FOOL! I WILL KILL YOU AND DESTROY YOUR PAGE! YOU ARE DISGUSTING! Ref_15.,0,0,0,0,0,0
"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC) Ref_16.",0,0,0,0,0,0
All people from that country are filthy scum and subhumans. I hate them all! Ref_17.,0,0,0,0,0,0
Fuck you and your stupid rules! You complete asshole! Ref_18.,0,0,0,0,0,0
"D'aww! He matches this background colour I'm seemingly stuck with. Thanks.  (talk) 21:51, January 11, 2016 (UTC) Ref_19.",0,0,0,0,0,0
SHUT UP YOU STUPID FOOL! I WILL KILL YOU AND DESTROY YOUR PAGE! YOU ARE DISGUSTING! Ref_20.,0,0,0,0,0,0
"Explanation
Why the edits made under my username Hardcore Metallica Fan were reverted? They weren't vandalisms. Ref_21.",1,0,1,0,1,0
"You are a pathetic loser, get a life and stop editing Wikipedia. Ref_22.",0,0,0,0,0,0
Fuck you and your stupid rules! You complete asshole! Ref_23.,0,0,0,0,0,0
